Id,Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
332,"Former member/president of the now-dormant or inactive Trump Acquisition, LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,"Trump Acquisition, LLC",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
333,"Former member/president of Trump Books LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Books LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
334,"Former president/chairman/director of Trump Books Manager Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Books Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
335,"Former member/president of the now-dormant or inactive Trump Brazil LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Brazil LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
336,"Former president of Trump Briarcliff Manor Development LLC (F/K/A Briar Hall Development LLC), in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and provides back office support functions to other entities. ",Donald Trump,Trump Briarcliff Manor Development LLC (F/K/A Briar Hall Development LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
337,"Former president/secretary of the now-dormant or inactive Trump Canadian Services Inc., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Canadian Services Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
338,"Former member/president of Trump Canouan Estate LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Canouan Estate LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
339,"Former president/chairman/director of Trump Canouan Estate Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,Trump Canouan Estate Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
340,"Former member of the now-dormant or inactive Trump Caribbean LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Caribbean LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
341,"Former president/member of Trump Carousel LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Carousel LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
342,"Former president/chairman/director of Trump Carousel Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,Trump Carousel Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
343,"Former president of the now-dormant or inactive Trump Central Park West Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Central Park West Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
344,"Former president/member of Trump Chicago Commercial Manager LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Chicago Commercial Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
345,"Former president/chairman/director of Trump Chicago Commercial Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,Trump Chicago Commercial Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
346,"Former president/member of the now-dormant or inactive Trump Chicago Development LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Chicago Development LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
347,"Former president/member of Trump Chicago Hotel Manager LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Chicago Hotel Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
348,"Former president/chairman/director of Trump Chicago Hotel Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,Trump Chicago Hotel Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
349,"Former president of Trump Chicago Managing Member LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,Trump Chicago Managing Member LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
350,"Former president of Trump Chicago Member LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,Trump Chicago Member LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
351,"Former president/member of Trump Chicago Residential Manager LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Chicago Residential Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
352,"Former president/chairman/director of Trump Chicago Residential Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,Trump Chicago Residential Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
353,"Former president of Trump Chicago Retail LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Chicago Retail LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
354,"Former president/member of the now-dormant or inactive Trump Chicago Retail Manager LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Chicago Retail Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
355,"Former president/chairman/director of the now-dormant or inactive Trump Chicago Retail Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Chicago Retail Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
356,"Former president/member of Trump Classic Cars LLC. The company, owned by Trump, was reportedly dissolved on Oct. 17, 2016.",Donald Trump,Trump Classic Cars LLC ,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
357,"Former president/chairman/director of Trump Classic Cars Member Corp. The company, owned by Trump, was reportedly dissolved on Oct. 17, 2016.",Donald Trump,Trump Classic Cars Member Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
358,"Former president of Trump Commercial Chicago LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Commercial Chicago LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
359,"Former director of Trump CPS Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,Trump CPS Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
360,"Former member/president of Trump CPS LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump CPS LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
361,"Former member of Trump Delmonico LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,Trump Delmonico LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
362,"Former president/member of the now-dormant or inactive Trump Development Services LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Development Services LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
363,"Former president/director of the now-dormant or inactive Trump Development Services Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Development Services Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
364,Former member/president of Trump Drinks Israel Holdings (resigned 2015). The company's current activity status and ownership structure are not disclosed. ,Donald Trump,Trump Drinks Israel Holdings,Office of Government Ethics,14-Jun-17,,,,,potential,,5-Jul-17
365,Former president/director/chairman of Trump Drinks Israel Holdings Member Corp. (resigned 2015). The company's current activity status and ownership structure are not disclosed. ,Donald Trump,Trump Drinks Israel Holdings Member Corp.,Office of Government Ethics,14-Jun-17,,,,,potential,,5-Jul-17
366,"Former member/president of the now-dormant or inactive Trump Drinks Israel LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Drinks Israel LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
367,"Former president/director/chairman of the now-dormant or inactive Trump Drinks Israel Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Drinks Israel Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
368,"Former chairman/director of the now-dormant or inactive Trump Education ULC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Education ULC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
369,"Former president/treasurer/director of the now-dormant or inactive Trump Empire State, Inc., in which Pres. Trump retains ownership interests. ",Donald Trump,"Trump Empire State, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
370,"Former president of Trump Endeavor 12 LLC (Trump National Doral), in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Endeavor 12 LLC (Trump National Doral),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
371,"Trump Endeavor 12 Manager Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Endeavor 12 Manager Corp. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
372,"Former member/president/secretary/treasurer of the now-dormant or inactive Trump EU Marks LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump EU Marks LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
373,"Former president/director/chairman of the now-dormant or inactive Trump EU Marks Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump EU Marks Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
374,"Former president/member of Trump Ferry Point LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,"Trump Ferry Point LLC (D/B/A Trump Golf Links Ferry Point [Delaware], Trump Golf Links Ferry Point [New York], Trump Golf Links [New York]) ",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
375,"Former president/director/chairman of Trump Ferry Point Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income and is part of other entity structures. ",Donald Trump,Trump Ferry Point Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
376,"Former member of the now-dormant or inactive Trump Florida Management LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Florida Management LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
377,"Former director/president of the now-dormant or inactive Trump Florida Manager Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Florida Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
378,"Former member/president of Trump Golf Acquisitions LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Golf Acquisitions LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
379,"Former member/president of Trump Golf Coco Beach LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,Trump Golf Coco Beach LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
380,"Former director/president of Trump Golf Coco Beach Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,Trump Golf Coco Beach Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
381,"Former member/president of the now-dormant or inactive Trump Golf Management LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Golf Management LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
382,"Former member/president of Trump Home Marks LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Home Marks LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
383,"Former director/president of Trump Home Marks Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Home Marks Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
384,"Trump Hotel Rio de Janeiro involved in a criminal investigation in Brazil. (The Trump Organization announced it will pull the name off the hotel and will not operate it, but that action has not yet been verified.) ",Donald Trump,Trump Hotel Rio de Janeiro,New York Times,14-Dec-16,Washington Post,13-Dec-16,New York Times,26-Nov-16,potential,,5-Jul-17
385,"Former member/president of Trump Ice LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Ice LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
386,"Former director/president of the now-dormant or inactive Trump Ice, Inc., in which Pres. Trump retains ownership interests. ",Donald Trump,"Trump Ice, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
387,Former member of Trump Identity LLC (resigned 2014). The company's current activity status and ownership structure are not disclosed. ,Donald Trump,Trump Identity,Office of Government Ethics,18-May-16,,,,,potential,,5-Jul-17
388,Former president/director of Trump Identity Member Corp. (resigned 2014). The company's current activity status and ownership structure are not disclosed. ,Donald Trump,Trump Identity Member Corp.,Office of Government Ethics,18-May-16,,,,,potential,,5-Jul-17
389,"Former member/president of the now-dormant or inactive Trump International Development LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump International Development LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
390,"Former president/director/chairman of the now-dormant or inactive Trump International Development Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump International Development Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
391,"Former member/president of Trump International Golf Club LC (Trump International Golf Club - Florida), in which Pres. Trump retains ownership interests. ",Donald Trump,Trump International Golf Club LC (Trump International Golf Club - Florida),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
392,Former director and chairman of Trump International Golf Club Scotland Limited. The company's activity status and ownership structures have not been disclosed. ,Donald Trump,Trump International Golf Club Scotland Limited,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,CNN,23-Jan-17,potential,,5-Jul-17
393,"Former president/director/secretary/treasurer of Trump International Golf Club, Inc., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,"Trump International Golf Club, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
394,Pres. Trump retains an ownership interest in Trump International Golf Links - Scotland. Any current or former positions he may have held are not disclosed. ,Donald Trump,Trump International Golf Links - Scotland,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,CNN,23-Jan-17,active,,5-Jul-17
395,"Former president of Trump International Hotel Hawaii LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump International Hotel Hawaii LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
396,"Former president/member of Trump International Hotels Management LLC, which Trump owned as of his 2016 financial disclosure. The company's current activity status and ownership structure were not articulated in his 2017 financial disclosure, although that document did reveal that he had earned more than $2 million in management fees in the past year. ",Donald Trump,"Trump International Hotels Management LLC (D/B/A Trump Hotel Collection [Hawaii], Trump Hotel Collection [New York]) ",Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,CNN,23-Jan-17,potential,,5-Jul-17
397,Former president/director of Trump International Management Corp. The company's ownership structure has not been reported on Trump's financial disclosures. ,Donald Trump,Trump International Management Corp,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
398,"Former member of Trump Jets LLC (F/K/A Sentient Jets LLC). The company, owned 99 percent by Donald J. Trump, was reportedly dissolved on Nov. 9, 2016. (See also Sentient Jets LLC) ",Donald Trump,Trump Jets LLC (F/K/A Sentient Jets LLC),Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
399,Former president/member of Trump Kelowna LLC (resigned 2014). The company's activity status and ownership structures have not been disclosed. ,Donald Trump,Trump Kelowna LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
400,Former president/director of Trump Kelowna Member Corp. (resigned 2014). The company's activity status and ownership structures have not been disclosed. ,Donald Trump,Trump Kelowna Member Corp.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
401,Pres. Trump retains an ownership interest in the now-dormant or inactive Trump Korea LLC. Any current or former positions he may have held with the company are not disclosed. ,Donald Trump,Trump Korea LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
402,"Former member of the now-dormant or inactive Trump Korean Projects LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Korean Projects LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
403,"Former member of the now-dormant or inactive Trump Las Olas LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Las Olas LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
404,"Former director/president of the now-dormant or inactive Trump Las Olas Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Las Olas Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
405,"Former director/president of Trump Las Vegas Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Las Vegas Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
406,"Former president/member of Trump Las Vegas Development LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Las Vegas Development LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
407,"Former president/member of Trump Las Vegas Managing Member LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Las Vegas Managing Member LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
408,"Former president/member of Trump Las Vegas Member LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Las Vegas Member LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
409,"Former president of Trump Las Vegas Sales & Marketing Inc., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Las Vegas Sales & Marketing Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
410,"Former member of Trump Lauderdale Development 2 LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Lauderdale Development 2 LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
411,"Former president and member of the now-dormant or inactive Trump Lauderdale Development LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Lauderdale Development LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
412,Former president of Trump lntematlonal Hotel and Tower Condominium. The company's activty status and ownership structure are not disclosed. ,Donald Trump,Trump lntematlonal Hotel and Tower Condominium ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
413,"Former director and vice-president of Trump Management Inc., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Management Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
414,"Former president/member of Trump Marketing LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marketing LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
415,"Former president/chairman/director of Trump Marks Asia Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks Asia Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
416,"Former president of Trump Marks Asia LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Asia LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
417,"Former member/president of the now-dormant or inactive Trump Marks Atlanta LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Atlanta LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
418,"Former president/chairman/director of the now-dormant or inactive Trump Marks Atlanta Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Atlanta Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
419,"Former president/director of Trump Marks Baja Corp. (resigned 2015). The company reportedly was dormant or inactive as of May 2016, at which time Trump retained an ownership interest. Its current activity status and ownership structure are not reported in his 2017 financial disclosure. ",Donald Trump,Trump Marks Baja Corp.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
420,"Former member & president of Trump Marks Baja LLC (resigned 2015). The company reportedly was dormant or inactive as of May 2016, at which time Trump retained an ownership interest. Its current activity status and ownership structure are not reported in his 2017 financial disclosure. ",Donald Trump,Trump Marks Baja LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
421,"Former member/president of the now-dormant or inactive Trump Marks Atlanta LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Batumi LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
422,Pres. Trump retains ownership interests in the now-dormant or inactive Trump Marks Batumi Managing Member Corp. Any current or former position he may have held with the company is not reported. ,Donald Trump,Trump Marks Batumi Managing Member Corp.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,active,,5-Jul-17
423,Former president/chairman/director of Trump Marks Batumi Member Corp. The company's activity status and ownership structure are not reported. ,Donald Trump,Trump Marks Batumi Member Corp.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
424,"Former president/director/chairman of Trump Marks Beverages Corp. The company was reportedly dormant or inactive as of May 2016, at which time Trump retained an ownership interest. Its current activity status and ownership structure are not reported in his 2017 financial disclosure. ",Donald Trump,Trump Marks Beverages Corp.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
425,"Former member/president of Trump Marks Beverages LLC. The company was reportedly dormant or inactive as of May 2016, at which time Trump retained an ownership interest. Its current activity status and ownership structure are not reported in his 2017 financial disclosure. ",Donald Trump,Trump Marks Beverages LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
426,"Former president/director/chairman of the now-dormant or inactive Trump Marks Canouan Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Canouan Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
427,"Former member/president of the now-dormant or inactive Trump Marks Canouan LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Canouan LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
428,"Former member/president of the now-dormant or inactive Trump Marks Chicago LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Chicago LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
429,"Former president/director/chairman of the now-dormant or inactive Trump Marks Chicago Member Corp, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Chicago Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
430,"Former president/director/chairman of the now-dormant or inactive Trump Marks Dubai Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Dubai Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
431,"Former member/president of the now-dormant or inactive Trump Marks Dubai LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Dubai LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
432,"Former president/director/chairman of the now-dormant or inactive Trump Marks Egypt Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Egypt Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
433,"Former member/president of the now-dormant or inactive Trump Marks Egypt LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Egypt LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
434,"Former president/member of Trump Marks Fine Foods LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Fine Foods LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
435,"Former president/director/chairman of Trump Marks Fine Foods Member Corp, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks Fine Foods Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
436,"Former member/president of the now-dormant or inactive Trump Marks Ft. Lauderdale LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Ft. Lauderdale LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
437,"Former president/director/chairman of the now-dormant or inactive Trump Marks Ft. Lauderdale Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Ft. Lauderdale Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
438,Former president/member of Trump Marks Gofl Swing LLC (resigned 2014). The company's ownership structure is not reported in financial disclosures. ,Donald Trump,Trump Marks Gofl Swing LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
439,Former director/president of Trump Marks Golf Swing Member Corp. (resigned 2014). The company's ownership structure is not reported in financial disclosures. ,Donald Trump,Trump Marks Golf Swing Member Corp.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
440,"Former president/director/chairman of Trump Marks GP Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks GP Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
441,"Former partner Trump Marks Holding LP (F/K/A Trump Marks LP)., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks Holding LP (F/K/A Trump Marks LP),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
442,"Former president/director/chairman of the now-dormant or inactive Trump Marks Hollywood Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Hollywood Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
443,"Former member/president of the now-dormant or inactive Trump Marks Hollywood LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Hollywood LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
444,"Former president/chairman/director of Trump Marks Istanbul II Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks Istanbul II Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
445,"Former member/president of Trump Marks Istanbul ll LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Istanbul ll LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
446,"Former director/president of Trump Marks Jersey City Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks Jersey City Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
447,"Former president/member of Trump Marks Jersey City LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks Jersey City LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
448,"Former director/president of the now-dormant or inactive Trump Marks Las Vegas Corp, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Las Vegas Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
449,"Former member/president of the now-dormant or inactive Trump Marks Las Vegas LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Las Vegas LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
