description,familyMember,conflictingEntity,category,notes,dateChanged
"Ivanka Trump served as Vice President of TRUMP MARKS PUERTO RICO I MEMBER CORP (pass-thru company for TRUMP MARKS PUERTO RICO I LLC (dormant/inactive)) from Dec 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Puerto Rico I Member Corp (Pass-Thru Company For Trump Marks Puerto Rico I LLC (Dormant/Inactive))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP MARKS PUNTA DEL ESTE LLC (license deal) from Jan 1, 2012, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Punta Del Este LLC (License Deal)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS REAL ESTATE LLC (license holder) from Feb 1, 2009, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Real Estate LLC (License Holder)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS SOHO LLC (license deal) from Jun 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Soho LLC (License Deal)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS STAMFORD CORP (pass-thru company for TRUMP MARKS STAMFORD LLC (license deal)) from Jun 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Stamford Corp (Pass-Thru Company For Trump Marks Stamford LLC (License Deal))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS STAMFORD LLC (license deal) from Jun 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Stamford LLC (License Deal)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP MARKS SUNNY ISLES I LLC (license deal) from Jul 1, 2010, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Sunny Isles I LLC (License Deal)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS TORONTO LP (dormant/inactive) from Jun 1, 2016, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Toronto Lp (Dormant/Inactive)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS WAIKIKI CORP (pass-thru company for TRUMP MARKS WAIKIKI LLC (license holder)) from Apr 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Waikiki Corp (Pass-Thru Company For Trump Marks Waikiki LLC (License Holder))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS WAIKIKI LLC (license holder) from Apr 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Waikiki LLC (License Holder)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS WESTCHESTER CORP (pass- thru company for TRUMP MARKS WESTCHESTER LLC (license deal)) from Jun 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Westchester Corp (Pass- Thru Company For Trump Marks Westchester LLC (License Deal))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS WESTCHESTER LLC (license deal) from Jun 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Marks Westchester LLC (License Deal)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS WHITE PLAINS CORP (pass- thru company for TRUMP MARKS WHITE PLAINS LLC (license holder)) from Jun 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Marks White Plains Corp (Pass- Thru Company For Trump Marks White Plains LLC (License Holder))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP MARKS WHITE PLAINS LLC (license holder) from Jun 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Marks White Plains LLC (License Holder)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP MIAMI RESORT MANAGEMENT LLC (management company) from Mar 1, 2012, until Jan 1, 2017.",Ivanka Trump,"Trump Miami Resort Management LLC (Management Company)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP MIAMI RESORT MANAGEMENT MEMBER CORP (pass-thru company for TRUMP MIAMI RESORT MANAGEMENT LLC (management company)) from Mar 1, 2012, until Jan 1, 2017.",Ivanka Trump,"Trump Miami Resort Management Member Corp (Pass-Thru Company For Trump Miami Resort Management LLC (Management Company))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP NATIONAL GOLF CLUB COLTS NECK LLC (golf club) from Jul 1, 2008, until Jan 1, 2017.",Ivanka Trump,"Trump National Golf Club Colts Neck LLC (Golf Club)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP NATIONAL GOLF CLUB LLC (a/k/a Trump National Golf Club) (golf club in Briarcliff Manor, NY) from Jul 1, 2008, until Jan 1, 2017.",Ivanka Trump,"Trump National Golf Club LLC (A/K/A Trump National Golf Club) (Golf Club In Briarcliff Manor, NY)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP NATIONAL GOLF CLUB MEMBER CORP (pass-thru company for TRUMP NATIONAL GOLF CLUB LLC (golf club in Briarcliff Manor, NY)) from Nov 1, 2011, until Jan 1, 2017.",Ivanka Trump,"Trump National Golf Club Member Corp (Pass-Thru Company For Trump National Golf Club LLC (Golf Club In Briarcliff Manor, NY))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP NATIONAL GOLF CLUB WASHINGTON DC LLC (golf club) from Feb 1, 2009, until Jan 1, 2017.",Ivanka Trump,"Trump National Golf Club Washington Dc LLC (Golf Club)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP NATIONAL GOLF CLUB WASHINGTON DC MEMBER CORP (pass-thru company for TRUMP NATIONAL GOLF CLUB WASHINGTON DC LLC (golf club)) from Feb 1, 2009, until Jan 1, 2017.",Ivanka Trump,"Trump National Golf Club Washington Dc Member Corp (Pass-Thru Company For Trump National Golf Club Washington Dc LLC (Golf Club))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP OLD POST OFFICE LLC (hotel in Washington, DC) from Jun 1, 2011, until Jan 1, 2017.",Ivanka Trump,"Trump Old Post Office LLC (Hotel In Washington, Dc)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President/EVP of TRUMP ORGANIZATION LLC (dormant/inactive) from Feb 1, 2009, until Jan 1, 2017.",Ivanka Trump,"Trump Organization LLC (Dormant/Inactive)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP PANAMA CONDOMINIUM MANAGEMENT LLC (dormant/inactive) from Dec 1, 2010, until Jan 1, 2017.",Ivanka Trump,"Trump Panama Condominium Management LLC (Dormant/Inactive)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP PANAMA CONDOMINIUM MEMBER CORP (pass-thru company for TRUMP PANAMA CONDOMINIUM MANAGEMENT LLC (dormant/inactive)) from Dec 1, 2010, until Jan 1, 2017.",Ivanka Trump,"Trump Panama Condominium Member Corp (Pass-Thru Company For Trump Panama Condominium Management LLC (Dormant/Inactive))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP PANAMA HOTEL MANAGEMENT LLC (management company) from Aug 1, 2010, until Jan 1, 2017.",Ivanka Trump,"Trump Panama Hotel Management LLC (Management Company)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP PANAMA HOTEL MANAGEMENT MEMBER CORP (pass-thru company for TRUMP PANAMA HOTEL MANAGEMENT LLC (management company)) from Aug 1, 2010, until Jan 1, 2017.",Ivanka Trump,"Trump Panama Hotel Management Member Corp (Pass-Thru Company For Trump Panama Hotel Management LLC (Management Company))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP PARK AVENUE LLC (residential &amp; commercial real estate) from Feb 1, 2012, until Jan 1, 2017.",Ivanka Trump,"Trump Park Avenue LLC (Residential &Amp; Commercial Real Estate)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP RESTAURANTS LLC (restaurant) from Jul 1, 2012, until Jan 1, 2017.",Ivanka Trump,"Trump Restaurants LLC (Restaurant)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP RUFFIN COMMERCIAL LLC (commercial real estate in Las Vegas, NV) from Oct 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Ruffin Commercial LLC (Commercial Real Estate In Las Vegas, Nv)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP RUFFIN TOWER I LLC (commercial real estate in Las Vegas, NV) from Jan 1, 2007, until Jan 1, 2017.",Ivanka Trump,"Trump Ruffin Tower I LLC (Commercial Real Estate In Las Vegas, Nv)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP SALES &amp; LEASING CHICAGO LLC (commercial real estate) from Oct 1, 2009, until Jan 1, 2017.",Ivanka Trump,"Trump Sales &Amp; Leasing Chicago LLC (Commercial Real Estate)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP SALES &amp; LEASING CHICAGO MEMBER CORP (pass-thru company for TRUMP SALES &amp; LEASING CHICAGO LLC (commercial real estate)) from Oct 1, 2009, until Jan 1, 2017.",Ivanka Trump,"Trump Sales &Amp; Leasing Chicago Member Corp (Pass-Thru Company For Trump Sales &Amp; Leasing Chicago LLC (Commercial Real Estate))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP SOHO MEMBER LLC (dormant/inactive) from Apr 1, 2006, until Jan 1, 2017.",Ivanka Trump,"Trump Soho Member LLC (Dormant/Inactive)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP TORONTO DEVELOPMENT, INC. (license deal) from Jun 1, 2016, until Jan 1, 2017.",Ivanka Trump,"Trump Toronto Development, Inc. (License Deal)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP TORONTO HOTEL MANAGEMENT CORP (license deal) from Jan 1, 2015, until Jan 1, 2017.",Ivanka Trump,"Trump Toronto Hotel Management Corp (License Deal)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Vice President of TRUMP TORONTO MEMBER CORP (dormant/inactive) from Jun 1, 2016, until Jan 1, 2017.",Ivanka Trump,"Trump Toronto Member Corp (Dormant/Inactive)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP VINEYARD ESTATES LLC (vineyard in Charlottesville, VA) from Mar 1, 2011, until Jan 1, 2017.",Ivanka Trump,"Trump Vineyard Estates LLC (Vineyard In Charlottesville, VA)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TRUMP VIRGINIA ACQUISITIONS LLC (commercial real estate in Charlottesville, VA) from Jan 1, 2011, until Jan 1, 2017.",Ivanka Trump,"Trump Virginia Acquisitions LLC (Commercial Real Estate In Charlottesville, VA)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump received income from nine different sources reported collectively as Trust #1 the year before her appointment as her father&#39;s presidential adviser. See individual trust components for source valuations, types and income generated.",Ivanka Trump,"Trust #1: Elmwood V. Associates, Lp (Commercial Real Estate In Chicago, Il); Landings Apartments, LLC (Commercial Real Estate In Chicago, Il); Oakwood Garden Associates, LLC (Commercial Real Estate In Chicago, Il); Wallkill Apartments Associates, Lp (Commercial Real Estate In Chicago, Il); Village Kf 4-9-10 Associates, LLC (Residential Real Estate In New York, NY); Puck Building, Lp (Commercial Real Estate In New York, NY); U.S. Bank Account #1 (Checking); Bruckner Plaza Center, LLC (Commercial Real Estate In New York, NY); Development Corporation For Israel/Israel Bonds",Active, "",09/18/2017
"Ivanka Trump received income from 28 different sources reported collectively as Trust #2 the year before her appointment as her father&#39;s presidential adviser. See individual trust components for source valuations, types and income generated.",Ivanka Trump,"Trust #2: Elmwood V. Associates, Lp (Commercial Real Estate In Chicago, Il); Puck Building, Lp (Commercial Real Estate In New York, NY); Puck Residential Associates, LLC (Residential Real Estate In New York, NY And Leonia, NJ); 715 Park Avenue Associates, Lp (Residential Real Estate In New York, NY); Sixty One Associates, LLC (Commercial Real Estate In New York, NY); Westmin Mad Associates, L.L.C.(Commercial Real Estate In New York, NY); West End Building Associates, LLC (Residential Real Estate In New York, NY); Westminster Linden, LLC (Residential Real Estate In Brooklyn, NY); U.S. Money Market Account #1 (Cash); Columbia Windows, LLC (Investment In Dhd Windows And Doors; New York, NY); Djnj Frito, LLC (Insurance Brokerage License; Florham Park, NJ); Landings Apartments, LLC (Commercial Real Estate In Chicago, Il); Kf- C-Iii Recovery Fund Ii, LLC (Financial Investments In C-Iii Recovery Fund Ii, Lp; Irving, Tx); Kf- Faire Fund Ii, LLC (Financial Investments In The Faire Fund Ii, Lp; Israel); Kf- Park Street Capital Pe Fund Ix, LLC (Financial Investments In Park Street Capital Private Equity Fund; Boston, Ma); Kf- Rcg Longview Debt Fund Iv, LLC (Financial Investments In Rcg Longview Debt Fund Iv Lp; New York, NY); Lw Investors, LLC (Financial Investments In Leeds Equity Partners Iv, Lp; New York, NY); Kushner Media Ventures, LLC (Financial Investments In Thrive Capital Partners, LLC; New York, NY); Thrive Capital Partners Ii, Lp (Financial Investments; New York, NY); Thrive Capital Partners Iii, Lp (Financial Investments; New York, NY); Claremount Iv Associates Lp (Financial Investments; New York, NY); Oakwood Garden Associates, LLC (Commercial Real Estate In Chicago, Il); Wallkill Apartments Associates, Lp (Commercial Real Estate In Chicago, Il); Village Kf 4-9-10 Associates, LLC (Residential Real Estate In New York, NY); K Gaia Village 1 Associates, LLC (Residential Real Estate In New York, NY); K Gaia Village 2 Associates, LLC (Residential Real Estate In New York, NY); Kushner Philadelphia Member, LLC (Residential Real Estate In Philadelphia, Pa); Pinecrest Lake Building Associates, Lp (Undeveloped Real Estate In Tobyhanna Township, Pa)",Active, "",09/18/2017
"Ivanka Trump received income from 27 different sources reported collectively as Trust #3 the year before her appointment as her father&#39;s presidential adviser. See individual trust components for source valuations, types and income generated.",Ivanka Trump,"Trust #3: 30 Florham Associates, LLC (Commercial Real Estate In Florham Park, NJ); Monmouth Mall, LLC (Commercial Real Estate In Eatontown, NJ); Monmouth Mall 2, LLC (Commercial Real Estate In Eatontown, NJ); B Monmouth Mall, LLC (Commercial Real Estate In Eatontown, NJ); Route 10 Associates, LLC (Industrial Real Estate In Whippany, NJ); Sixty-Six West Associates, LLC (Commercial Real Estate In Livingston, NJ); Skyline Kushner, LLC (Residential Real Estate In Hasbrouck Heights &Amp; Lodi, NJ); The Landings At Harborside, LLC (Residential Real Estate And Undeveloped Assets In Perth Amboy, NJ); Vreeland Avenue Associates, LLC (Commercial Real Estate In Florham Park, NJ); 55 Challenger Road Associates, LLC (Commercial Real Estate In Ridgefield Park, NJ); Lindenlawn Apartment Associates, LLC (Residential Real Estate In Englewood, NJ); Ck Bergen Associates, LLC (Industrial Real Estate In Fairlawn &Amp; Oakland, NJ); Merritt Associates, LLC (Residential Real Estate In Dumont, NJ); Cranbury Building Associates, LLC (Undeveloped Real Estate In Cranbury, NJ); Gallant Funding, Lp (Lending To Real Estate Developers For Real Estate Projects In New York And New Jersey); New Jersey Renewable Power, LLC (Operation Of Solar Panels; Florham Park, NJ); Kf-Centerview, LLC (Financial Investments In Centerview Capital, Lp; New York, NY); Sq Associates, LLC (Financial Investments In Square Mile Partners, Lp; New York, NY); Sqk Associates, LLC (Financial Investments In Square Mile Partners, Lp; New York, NY); Ck Livingston Esplanade, LLC (Westminster Hotel; Livingston, NJ); Colts Neck Building Associates, LLC (Undeveloped Real Estate In Colts Neck, NJ); Columbia Corporate Center Development Associates, LLC (Commercial Real Estate In Florham Park, NJ); Deer Tree Building Associates, LLC (Undeveloped Real Estate In Hardyston Township, NJ); Florham Park Realty Associates, LLC (Commercial Real Estate In Florham Park, NJ); Landings At Caspian Pointe, LLC (Undeveloped Real Estate In Atlantic City, NJ); Livingston Hills Building Associates, LLC (Real Estate Under Construction In Livingston, NJ); Magnolia Building Associates, LLC (Undeveloped Assets In Pemberton, NJ)",Active, "",09/18/2017
"Ivanka Trump received income from 42 different sources reported collectively as Trust #4 the year before her appointment as her father&#39;s presidential adviser. See individual trust components for source valuations, types and income generated.",Ivanka Trump,"Trust #4: 184 Kent Associates, LLC (Residential Real Estate In Brooklyn, NY); K Astoria, LLC (Residential Real Estate In Astoria, NY); K Stonehage Village 1 Associates, LLC (Residential Real Estate In New York, NY); Village Kf 2 Km, LLC (Residential Real Estate In New York, NY); Village Kf 4-9-10 Associates, Lp (Residential Real Estate In New York, NY); 65 Bay, LLC (F/K/A Gaia Jc, LLC) (Residential Real Estate In Jersey City, NJ); K One Journal Square, LLC (Undeveloped Real Estate In Jersey City, NJ); Kc Dumbo Hotel, LLC (Option To Purchase Commercial Real Estate In Brooklyn, NY); Kc Dumbo Office, LLC (Commercial Real Estate In Brooklyn, NY); Kf Middle River, LLC (Residential Real Estate In Middle River &Amp; Essex, Md); Kf Westwood Partner, LLC (Residential Real Estate In Westwood &Amp; River VAle, NJ); Chatham Hill Associates, LLC (Residential Real Estate In Chatham, NJ); Kf-Bls Member, LLC (Residential Real Estate In Brooklyn, NY); Puck Building, Lp (Commercial Real Estate In New York, NY); Route 10 Associates, LLC (Industrial Real Estate In Whippany, NJ); State Tower Of Syracuse Associates, LLC (Residential Real Estate In Leonia, NJ); Times Square Associates, LLC (Commercial Real Estate In New York, NY); Warren At Bay Associates, LLC (Commercial Real Estate In Jersey City, NJ); Wt 25 Columbia, LLC (Real Estate Under Construction In Brooklyn, NY); 115 East 87, LLC (Contingent Right To Ownership Interest In Residential Real Estate In New York, NY); 80 Ml, LLC (Commercial Real Estate In New York, NY); Kf-Wip Co. Investors I, LLC (Industrial Real Estate In Middletown, Pa); Elmwood V. Associates, Lp (Commercial Real Estate In Chicago, Il); Kkc Associates, LLC (Residential Real Estate In Kansas City, Mo); Stone 16 Associates, LLC (Residential Real Estate In New York, NY); P.V. Development, LLC (Undeveloped Real Estate In Long Branch, NJ); Flatbush 340 Lender, LLC (Loan Receivable From 9 Dekalb Owner LLC; Brooklyn, NY); Kcof-215 Moore, LLC (Loan Receivable From Heritage Equities; Brooklyn, NY); Observer Capital Sm Spv, LLC (Shares Of Corporate Stock In Source Media Holdings Inc.; New York, NY); Oc Partners, LLC (Cash; New York, NY); Bruckner P Corp. (Commercial Real Estate In New York, NY); Bruckner Plaza Center, LLC (Commercial Real Estate In New York, NY); Fifth Associates, LLC (Commercial Real Estate In New York, NY); Landings Apartments, LLC (Commercial Real Estate In Chicago, Il); Ck Realty Holdings, LLC (Commercial Real Estate In New York, NY And Wippany, NJ); 29 Second Avenue Realty, LLC (Residential Real Estate In New York, NY); Kff 29 Second Avenue LLC (Residential Real Estate In New York, NY); Gellert 80 West End, LLC (Residential And Commercial Real Estate In Long Branch, NJ And Astoria, NY); Gowan Associates, LLC (Undeveloped Real Estate In Brooklyn, NY); Iroqouis Properties, Lp (Residential Real Estate In New York, NY); K 26 Journal Square, LLC (Commercial Real Estate In Jersey City, NJ); K 30 Journal Square, LLC (Undeveloped Real Estate In Jersey City, NJ)",Active, "",09/18/2017
"Ivanka Trump received income from 25 different sources reported collectively as Trust #5 the year before her appointment as her father&#39;s presidential adviser. See individual trust components for source valuations, types and income generated.",Ivanka Trump,"Trust #5: Brynwood Gardens (Residential Real Estate In Old Bridge, NJ); Lodi Phillipsburg Apartment Associates (Residential Real Estate In Lodi, NJ); Martha Bell Associates, LLC (Residential Real Estate In Elizabeth, NJ); Mt. Pleasant Jv (Commercial Real Estate In West Orange, NJ); Netcong Heights Associates, LLC (Residential Real Estate In Netcong, NJ); Oxford Arms Associates Limited Partnership (Residential Real Estate In Edison, NJ); Park Lake Village (Residential Real Estate In Parsippany, NJ); Park Lane Mobile Home Park (Residential Real Estate In Union, NJ); Pinefield Manor, LLC (Residential Real Estate In Denville, NJ); Princeton Horizon Apartments (Residential Real Estate In South Brunswick, NJ); River Edge Apartments (Residential Real Estate In Ewing, NJ); Cherry Pines Apartments (Residential Real Estate In Elizabeth, NJ); Skytop Gardens (Residential Real Estate In Sayreville, NJ); Taylor Edison Jv (Industrial Real Estate In Edison, NJ); The Pines Apartments (Residential Real Estate In Elizabeth, NJ); Tov Manor Associates, Lp (Residential Real Estate In New Brunswick, NJ); Westfield Jv (Commercial Real Estate In Westfield, NJ); Schoolhouse Jv (Commercial Real Estate In Milburn, NJ); Colonial Heights, LLC (Residential Real Estate In Parsippany, NJ); Dartmouth Village, LLC (Residential Real Estate In Parsippany, NJ); Easton North Associates, Lp (Residential Real Estate In Franklin Township, NJ); Felmore Associates (Residential Real Estate In South River, NJ); Five Acre Jv (Industrial Real Estate In Union, NJ); Kay &Amp; Arr Realty Associates (Residential Real Estate In Elizabeth, NJ); Lmp Jv (Industrial Real Estate In Edison, NJ)",Active, "",09/18/2017
"Ivanka Trump received income from six different sources reported collectively as Trust #6 the year before her appointment as her father&#39;s presidential adviser. See individual trust components for source valuations, types and income generated.",Ivanka Trump,"Trust #6: 200 East 62Nd 25A, LLC (Residential Real Estate In New York, NY); 200 East 62Nd 25B, LLC (Residential Real Estate In New York, NY); 200 East 62Nd 26D, LLC (Residential Real Estate In New York, NY); 212 5Th 7C, LLC (Residential Real Estate In New York, NY); 212 5Th 8C, LLC (Residential Real Estate In New York, NY); 212 5Th 9C, LLC (Residential Real Estate In New York, NY)",Active, "",09/18/2017
"Ivanka Trump received income from six different sources through Lincoln National Life Insurance Company, Variable Life, reported collectively as Trust #7, the year before her appointment as her father&#39;s presidential adviser. See individual trust components for source valuations, types and income generated.",Ivanka Trump,"Trust #7: Lincoln National Life Insurance Company, VAriable Life (Ssga Bond Index Fund; Jpmorgan High Yield Fund; Delaware Diversified Floating Rate Fund; Delaware Vip Reit Series; Dimensional International Core Equity Fund; Dimensional U.S. Core Equity 2 Fund)",Active, "",09/18/2017
"Ivanka Trump served as Executive Vice President &amp; Treasurer of TTTT VENTURE MEMBER CORP (pass-thru company) from Oct 1, 2015, until Jan 1, 2017.",Ivanka Trump,"Tttt Venture Member Corp (Pass-Thru Company)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TURNBERRY SCOTLAND LLC (pass-thru company for Golf Recreation Scotland Limited (pass-thru company for SLC Turnberry Limited (golf courses and resort))) from Apr 1, 2014, until Jan 1, 2017.",Ivanka Trump,"Turnberry Scotland LLC (Pass-Thru Company For Golf Recreation Scotland Limited (Pass-Thru Company For Slc Turnberry Limited (Golf Courses And Resort)))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TURNBERRY SCOTLAND MANAGING MEMBER CORP (pass-thru company for TURNBERRY SCOTLAND LLC (pass-thru company for Golf Recreation Scotland Limited (pass-thru company for SLC Turnberry Limited (golf courses and resort)))) from Apr 1, 2014, until Jan 1, 2017.",Ivanka Trump,"Turnberry Scotland Managing Member Corp (Pass-Thru Company For Turnberry Scotland LLC (Pass-Thru Company For Golf Recreation Scotland Limited (Pass-Thru Company For Slc Turnberry Limited (Golf Courses And Resort))))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President &amp; Secretary of TW VENTURE I LLC (transportation services) from Nov 1, 2013, until Jan 1, 2017.",Ivanka Trump,"Tw Venture I LLC (Transportation Services)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
